Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00   105117     0.00     0.00  entityx::Entity::Id::Id(unsigned int, unsigned int)
  0.00      0.43     0.00   105006     0.00     0.00  entityx::EntityManager::create_id(unsigned int) const
  0.00      0.43     0.00   104784     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_get_Node_allocator()
  0.00      0.43     0.00   104784     0.00     0.00  SpatialData& std::forward<SpatialData&>(std::remove_reference<SpatialData&>::type&)
  0.00      0.43     0.00    79400     0.00     0.00  bool entityx::EntityManager::has_component<SpatialData>(entityx::Entity::Id) const
  0.00      0.43     0.00    79289     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager>::valid() const
  0.00      0.43     0.00    79053     0.00     0.00  SpatialData* entityx::EntityManager::get_component_ptr<SpatialData>(entityx::Entity::Id)
  0.00      0.43     0.00    79046     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager>::ComponentHandle(entityx::EntityManager*, entityx::Entity::Id)
  0.00      0.43     0.00    78824     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager> entityx::EntityManager::component<SpatialData, void>(entityx::Entity::Id)
  0.00      0.43     0.00    78824     0.00     0.00  entityx::ComponentHandle<SpatialData, entityx::EntityManager> entityx::Entity::component<SpatialData, void>()
  0.00      0.43     0.00    78588     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<float const, entityx::Entity> >::_M_ptr()
  0.00      0.43     0.00    78588     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<float const, entityx::Entity> >::_M_addr()
  0.00      0.43     0.00    78588     0.00     0.00  std::_Rb_tree_node<std::pair<float const, entityx::Entity> >::_M_valptr()
  0.00      0.43     0.00    78352     0.00     0.00  vec2<float> View::viewCoordFromGlobal<float>(vec2<float>) const
  0.00      0.43     0.00    77880     0.00     0.00  filledPolygonColor
  0.00      0.43     0.00    77880     0.00     0.00  polygonColor
  0.00      0.43     0.00    77880     0.00     0.00  polygonRGBA
  0.00      0.43     0.00    60420     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.43     0.00    59472     0.00     0.00  pixel(SDL_Renderer*, short, short)
  0.00      0.43     0.00    53466     0.00     0.00  operator new(unsigned long long, void*)
  0.00      0.43     0.00    53336     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::next()
  0.00      0.43     0.00    52870     0.00     0.00  std::_Function_base::_M_empty() const
  0.00      0.43     0.00    52864     0.00     0.00  entityx::EntityManager::ViewIterator<entityx::EntityManager::BaseView<false>::Iterator, false>::operator!=(entityx::EntityManager::BaseView<false>::Iterator const&) const
